year_month,sales,forecast
2016-10,46566.71,0.0
2016-12,19.62,0.0
2017-01,127545.67,0.0
2017-02,271298.65,0.0
2017-03,414369.39,0.0
2017-04,390952.18,0.0
2017-05,567066.73,0.0
2017-06,490225.6,0.0
2017-07,566403.93,0.0
2017-08,646000.61,0.0
2017-09,701169.99,0.0
2017-10,751140.27,0.0
2017-11,1153528.05,0.0
2017-12,843199.17,0.0
2018-01,1078606.86,0.0
2018-02,966510.88,0.0
2018-03,1120678.0,0.0
2018-04,1132933.95,0.0
2018-05,1128836.69,0.0
2018-06,1012090.68,0.0
2018-07,1027903.86,0.0
2018-08,985414.28,0.0
2018-09,0.0,961406.89
2018-10,0.0,937984.38
2018-11,0.0,915132.51
2018-12,0.0,892837.37
2019-01,0.0,871085.41
2019-02,0.0,849863.38
